id,name,score
0,"Time",1.0
12,"V12",0.16158944
4,"V4",0.15185867
3,"V3",0.14395618
11,"V11",0.12896577
20,"V20",0.11170686
7,"V7",0.08425814
34,"Class",0.08374839
2,"V2",0.081734054
14,"V14",0.062441822
26,"V26",0.05619187
9,"V9",0.05470042
35,"Class",0.05334391
10,"V10",0.046997946
30,"Class",0.04346272
33,"Class",0.03876802
16,"V16",0.038274214
18,"V18",0.025399718
31,"Class",0.022794368
27,"V27",0.021714373
19,"V19",0.02108354
29,"Amount",0.016637404
5,"V5",0.015708638
32,"Class",0.01470878
22,"V22",0.014251923
15,"V15",0.0136174
23,"V23",0.013154265
24,"V24",0.010428948
17,"V17",0.006597963
13,"V13",0.0057213386
6,"V6",0.0047468115
28,"V28",0.0044689626
8,"V8",0.0031093163
25,"V25",0.0010530254
1,"V1",0.00091732654
21,"V21",0.0
