id,name,score
0,"Time",1.0
4,"V4",0.17940554
12,"V12",0.15171424
11,"V11",0.13603263
3,"V3",0.131782
7,"V7",0.10398115
20,"V20",0.08034613
2,"V2",0.07990093
14,"V14",0.074671224
34,"Class",0.07308916
35,"Class",0.06201989
9,"V9",0.061036885
10,"V10",0.05938565
30,"Class",0.051521298
16,"V16",0.036734104
31,"Class",0.036292218
18,"V18",0.034107476
27,"V27",0.021170238
33,"Class",0.018107392
5,"V5",0.015582862
26,"V26",0.014073989
22,"V22",0.011471784
19,"V19",0.009728662
23,"V23",0.008288265
32,"Class",0.0072853216
24,"V24",0.0069963266
13,"V13",0.0069362293
29,"Amount",0.0055107432
17,"V17",0.0034711307
8,"V8",0.0031673224
21,"V21",0.0024958693
1,"V1",0.0024639526
15,"V15",0.0022192132
6,"V6",0.001656203
25,"V25",2.3888773e-05
28,"V28",0.0
